pattern_text,comment_count,distinct_commenters,distinct_videos,first_published_at,last_published_at,duration_hours,sentiment_values,repeated_text,cross_commenter,cross_video,pattern_cluster_candidate
"mbg makanan beracun gratis",3,3,2,2025-11-15T05:36:18Z,2026-09-22T05:31:01Z,7463.91,negative,True,True,True,True
"mbg mas bahlil ganteng",3,3,2,2026-05-25T08:15:35Z,2026-06-18T09:21:27Z,577.10,neutral,True,True,True,True
"mbg (makan beracun gratis)",2,2,2,2025-09-26T02:37:02Z,2026-05-12T11:06:13Z,5480.49,negative,True,True,True,True
"mbg maling berkedok gizi",2,2,2,2026-02-25T00:16:34Z,2026-07-23T01:54:57Z,3553.64,negative,True,True,True,True
