number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_embedding_dim,params_lr,params_units,state
0,0.5620902024524276,2026-09-24 10:46:08.688683,2026-09-24 10:46:15.914357,0 days 00:00:07.225674,64,0.23900466011060914,64,0.0006207090305742934,32,COMPLETE
1,0.5701521371649361,2026-09-24 10:46:15.914419,2026-09-24 10:46:25.772374,0 days 00:00:09.857955,64,0.40811066020010545,64,0.0006711365444277669,64,COMPLETE
2,0.5620902024524276,2026-09-24 10:46:25.772440,2026-09-24 10:46:34.603510,0 days 00:00:08.831070,64,0.35296322368059485,64,0.0006066716167545476,32,COMPLETE
3,0.553962703962704,2026-09-24 10:46:34.603582,2026-09-24 10:46:47.785259,0 days 00:00:13.181677,32,0.3481036422155106,64,0.0005332562317538382,64,COMPLETE
4,0.5737375372701394,2026-09-24 10:46:47.785327,2026-09-24 10:47:00.705496,0 days 00:00:12.920169,32,0.2761534422933427,64,0.0005724986625725797,32,COMPLETE
